Name,Profile URL,Debut Year,Number of Movies,Tags/Genres,Birthday,Height,Cup Size
逢沢みゆ,https://javdb.com/actors/zK98J,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(79), 中出(56), 美少女電影(49), VR(30), 精選綜合(28), 巨乳(28), 蕩婦(20), 口交(19), 4小時以上作品(18), 女上位(18), 淫亂真實(17), 美乳(15), 高中女生(14), 接吻(14), 制服(12), 偶像(12), 多P(11), 苗條(10), 潮吹(10), 已婚婦女(8), 戲劇(8), 白天出軌(8), 姐姐(7), 自慰(7), 主觀視角(7), 素人作品(6), 深喉(6), 手淫(6), 流汗(5), 乳液(5), 戀物癖(4), 各種職業(4), 熟女(4), 美臀(4), 大屁股(4), 出軌(4), 美容院(4), 4K(3), 女同性戀(3), 濫交(3), 乳交(3), 角色扮演者(3), 無毛(3), 巨大陰莖(3), OL(3), 顏射(3), 情侶(3), 戀腿癖(2), 騎乗位(2), 倒追(2), 舔陰(2), 玩具(2), 護士(2), 惡作劇(2), M男(2), 短裙(2), 學校泳裝(2), 凌辱(2), 原作改編(2), 第一人稱攝影(2), 介紹影片(2), 性感的(2), 16小時以上作品(2), 泳裝(2), 妹妹(2), 淫語(2), 紀錄片(2), 校服(1), 連褲襪(1), 展場女孩(1), 足交(1), 浴衣(1), 雙性人(1), 業餘(1), 處男(1), 女優按摩棒(1), 按摩(1), 和服，喪服(1), 女同接吻(1), 裸體圍裙(1), 水手服(1), 學校作品(1), 故事集(1), 女檢察官(1), 子宮頸(1), 藥物(1), 運動短褲(1), 羞恥(1), 女傭(1), 首次亮相(1)",,,
金松季歩,https://javdb.com/actors/RdZe8,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 偶像(23), 單體作品(23), 精選綜合(22), 4小時以上作品(20), 淫亂真實(17), 巨乳(15), 紀錄片(11), 蕩婦(10), 美少女電影(9), 苗條(9), 潮吹(9), VR(6), 口交(5), 濫交(5), 素人作品(5), 女上位(5), 白天出軌(4), 主觀視角(4), 顏射(4), 手淫(3), 戲劇(3), OL(3), 姐姐(3), 接吻(3), 巨大陰莖(3), M男(2), 出軌(2), 美乳(2), 感謝祭(2), 介紹影片(2), 多P(2), 戀乳癖(2), 深喉(1), 乳交(1), 女教師(1), 16小時以上作品(1), 浴衣(1), 按摩(1), 美容院(1), 子宮頸(1), 禮儀小姐(1), 首次亮相(1)",,,
北岡果林,https://javdb.com/actors/J2q7B,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 中出(94), 單體作品(83), 美少女電影(77), VR(62), 精選綜合(44), 口交(33), 蕩婦(24), 高中女生(22), 苗條(22), 美乳(19), 淫亂真實(19), 4小時以上作品(18), 女上位(18), 制服(13), 主觀視角(13), 接吻(13), 白天出軌(13), 女大學生(10), 姐姐(9), 手淫(8), 美臀(7), 第一人稱攝影(7), 素人作品(7), 角色扮演者(7), 多P(7), 顏射(7), 淫語(6), 無毛(6), 妹妹(5), 潮吹(5), 巨乳(4), 自慰(4), 凌辱(4), 亂倫(4), 辣妹(4), OL(4), 校服(4), 流汗(4), 護士(4), 泳裝(3), 戀愛(3), 足交(3), 短裙(3), 按摩(3), 已婚婦女(3), 子宮頸(3), 童年朋友(3), 舔陰(3), 戀物癖(3), 女同接吻(3), 女同性戀(3), 濫交(3), 偶像(3), 戲劇(2), 女傭(2), 肛門・肛交(2), 4K(2), 禮儀小姐(2), 手指插入(2), 運動短褲(2), 絲襪、過膝襪(2), 吞精(2), 水手服(2), 眼鏡(2), 學校泳裝(2), 惡作劇(2), 魔鬼系(2), 乳液(2), 瘦小身型(1), 連褲襪(1), 旗袍(1), 16小時以上作品(1), 戀腿癖(1), 內衣(1), 玩具(1), 投稿(1), 放尿(1), 按摩棒(1), 紀錄片(1), 猥褻穿著(1), 熟女(1), 情侶(1), 深喉(1), 局部特寫(1), 巨大陰莖(1), 蠻橫嬌羞(1), 立即口交(1), 講師(1), 女優按摩棒(1), 性感的(1), 美少女(1), 乳交(1), 處男(1), 獵豔(1), 高挑(1), 出軌(1), 家教(1), 羞恥(1), 首次亮相(1)",,,
田野憂,https://javdb.com/actors/8VOMx,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 巨乳(29), 單體作品(24), 乳交(23), 精選綜合(22), 4小時以上作品(20), 超乳(20), 美少女電影(20), 淫亂真實(13), 戀乳癖(12), 苗條(9), 主觀視角(9), 紀錄片(6), 素人作品(6), VR(6), 潮吹(6), 女上位(5), 偶像(5), 16小時以上作品(4), 白天出軌(4), 接吻(4), 濫交(3), 介紹影片(3), 美容院(3), 戲劇(2), 口交(2), 蕩婦(2), 制服(2), 美乳(2), 猥褻穿著(2), 乳液(2), 多P(2), 感謝祭(1), OL(1), 惡作劇(1), 大屁股(1), 女傭(1), 妹妹(1), 戀物癖(1), 拘束(1), 巨大陰莖(1), 子宮頸(1), 情侶(1), 第一人稱攝影(1), 女優按摩棒(1), 放尿(1), 高中女生(1), 首次亮相(1)",,,
瀬戸環奈,https://javdb.com/actors/neRNX,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 巨乳(17), 4小時以上作品(14), 單體作品(13), 乳交(11), 美少女電影(10), 偶像(8), 淫亂真實(7), 戀乳癖(5), 精選綜合(5), 口交(4), 潮吹(4), 主觀視角(4), 顏射(4), 女上位(3), 接吻(3), 手淫(3), 多P(3), 苗條(3), VR(2), 超乳(2), 介紹影片(2), 手指插入(1), 蕩婦(1), 流汗(1), 深喉(1), 巨大陰莖(1), 高中女生(1), 制服(1), 美乳(1), M男(1), 禮儀小姐(1), 第一人稱攝影(1), 玩具(1), 首次亮相(1)",,,
三澄寧々,https://javdb.com/actors/d4ndM,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(3), 巨乳(3), 姐姐(2), 介紹影片(1), 內衣(1), 泳裝(1), 苗條(1), 偶像(1), 淫亂真實(1), 首次亮相(1), 女上位(1)",,,
瀬戸環奈,https://javdb.com/actors/neRNX,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 巨乳(17), 4小時以上作品(14), 單體作品(13), 乳交(11), 美少女電影(10), 偶像(8), 淫亂真實(7), 戀乳癖(5), 精選綜合(5), 口交(4), 潮吹(4), 主觀視角(4), 顏射(4), 女上位(3), 接吻(3), 手淫(3), 多P(3), 苗條(3), VR(2), 超乳(2), 介紹影片(2), 手指插入(1), 蕩婦(1), 流汗(1), 深喉(1), 巨大陰莖(1), 高中女生(1), 制服(1), 美乳(1), M男(1), 禮儀小姐(1), 第一人稱攝影(1), 玩具(1), 首次亮相(1)",,,
石川澪,https://javdb.com/actors/QV0p9,2025,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 美少女電影(90), 單體作品(72), 精選綜合(47), 4小時以上作品(46), 口交(37), 蕩婦(33), 苗條(30), 接吻(22), 女上位(19), 介紹影片(17), 顏射(17), VR(16), 美乳(15), 手淫(14), 淫亂真實(14), 潮吹(13), 中出(11), 主觀視角(10), 制服(10), 多P(10), 巨乳(9), 高中女生(8), 紀錄片(7), 羞恥(6), 淫語(6), 角色扮演者(6), 戀物癖(5), 性感的(5), 素人作品(5), 情侶(4), 妹妹(4), OL(3), 戲劇(3), M男(3), 放尿(3), 第一人稱攝影(3), 美容院(3), 流汗(2), 深喉(2), 凌辱(2), 玩具(2), 童年朋友(2), 局部特寫(2), 舔陰(2), 白天出軌(2), 平胸(2), 女傭(2), 偶像(2), 護士(2), 處男(2), 乳液(2), 禮儀小姐(2), 短裙(2), 學校泳裝(1), 浴衣(1), 教學(1), 濫交(1), 內衣(1), 監禁(1), 惡作劇(1), 偷窺(1), 立即口交(1), 足交(1), 戀腿癖(1), 高挑(1), 自慰(1), 亂倫(1), 無毛(1), 泳裝(1), 感謝祭(1), 乳交(1), 首次亮相(1), 女大學生(1)",,,
"美園和花, 矢田結衣, 園田和華子, 園洋子, 珠莉, 和香さん, 美園さん, ゆか, かすみさん",https://javdb.com/actors/qA0N,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 巨乳(685), 中出(579), VR(506), 精選綜合(500), 4小時以上作品(351), 單體作品(294), 蕩婦(226), 美少女電影(216), 素人作品(167), 已婚婦女(134), 淫亂真實(133), 大屁股(130), 女上位(129), 乳交(123), 口交(109), 潮吹(109), 多P(99), 高中女生(94), 主觀視角(83), 業餘(75), 白天出軌(70), 戀物癖(70), 美臀(59), 制服(58), 戲劇(56), 顏射(55), 美乳(54), 姐姐(53), 第一人稱攝影(49), 自慰(45), 女同性戀(42), 接吻(41), 戀乳癖(41), 手淫(41), 無毛(41), 16小時以上作品(40), 禮儀小姐(40), 濫交(37), 淫語(36), 女大學生(36), 企畫(36), 熟女(35), 介紹影片(34), OL(33), 女同接吻(31), 深喉(30), 乳液(28), 羞恥(28), 胖女人(28), 局部特寫(27), 辣妹(26), 妹妹(26), 獵豔(24), 美容院(24), M男(23), 角色扮演者(23), 按摩(23), 吞精(22), 凌辱(22), 紀錄片(21), 出軌(18), 連褲襪(18), 苗條(17), 肛門・肛交(17), 亂倫(16), 護士(16), 捆綁(15), 原作改編(14), 短裙(14), 校服(14), 偷窺(13), 舔陰(13), 兩女一男(12), 各種職業(12), 放尿(12), 內衣(11), 女教師(11), 拘束(11), 4K(10), 新娘，年輕妻子(10), 玩具(10), 浴衣(10), 學校泳裝(10), 按摩棒(10), 美少女(10), HDTV(9), 女優按摩棒(9), 泳裝(9), 兔女郎(8), 曬黑(8), 平胸(8), 處女(8), 騎乗位(8), 處男(8), 運動短褲(8), 巨大陰莖(8), 角色扮演(7), 手指插入(7), 女傭(7), 偶像(7), 戀腿癖(7), 黑人演員(7), 魔鬼系(7), 水手服(7), 流汗(7), 妄想(6), 眼鏡(6), 立即口交(6), 監禁(6), 藥物(6), 戶外(5), 緊縛(5), 感謝祭(5), 講師(5), 學校作品(5), SM(5), 惡作劇(5), 瘦小身型(5), 和服，喪服(5), 戀愛(4), 跳蛋(4), 正太控(4), 69(4), 女醫生(4), 倒追(4), 足交(4), 調教(4), 變性者(3), 猥褻穿著(3), 教學(3), 跳舞(3), 共演(3), 超乳(3), 性感的(3), 插入異物(3), 高挑(3), 情侶(3), 迷你裙(3), 運動(3), 童年朋友(2), 女裝人妖(2), 汽車性愛(2), 全裸(2), 國外進口(2), 子宮頸(2), 母親(2), 暗黑系(2), 空中小姐(2), 婆婆(2), 家教(2), 妓女(2), 飲尿(2), 戰鬥行動(2), 科幻(2), 故事集(2), 特效(2), 女戰士(2), 蘿莉塔(2), 3D(1), 殘忍畫面(1), 秘書(1), 女檢察官(1), 性轉換·女體化(1), 寡婦(1), 催眠(1), 無碼流出(1), 兩男兩女(1), 格鬥家(1), 娃娃(1), 裸體圍裙(1), 白人(1), 蒙面・面罩(1), 投稿(1), 輪姦(1), 肌肉(1), 旗袍(1), 給女性觀眾(1), 爛醉如泥的(1), 數位馬賽克(1), 首次亮相(1)",,,
北岡果林,https://javdb.com/actors/J2q7B,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 中出(94), 單體作品(83), 美少女電影(77), VR(62), 精選綜合(44), 口交(33), 蕩婦(24), 高中女生(22), 苗條(22), 美乳(19), 淫亂真實(19), 4小時以上作品(18), 女上位(18), 制服(13), 主觀視角(13), 接吻(13), 白天出軌(13), 女大學生(10), 姐姐(9), 手淫(8), 美臀(7), 第一人稱攝影(7), 素人作品(7), 角色扮演者(7), 多P(7), 顏射(7), 淫語(6), 無毛(6), 妹妹(5), 潮吹(5), 巨乳(4), 自慰(4), 凌辱(4), 亂倫(4), 辣妹(4), OL(4), 校服(4), 流汗(4), 護士(4), 泳裝(3), 戀愛(3), 足交(3), 短裙(3), 按摩(3), 已婚婦女(3), 子宮頸(3), 童年朋友(3), 舔陰(3), 戀物癖(3), 女同接吻(3), 女同性戀(3), 濫交(3), 偶像(3), 戲劇(2), 女傭(2), 肛門・肛交(2), 4K(2), 禮儀小姐(2), 手指插入(2), 運動短褲(2), 絲襪、過膝襪(2), 吞精(2), 水手服(2), 眼鏡(2), 學校泳裝(2), 惡作劇(2), 魔鬼系(2), 乳液(2), 瘦小身型(1), 連褲襪(1), 旗袍(1), 16小時以上作品(1), 戀腿癖(1), 內衣(1), 玩具(1), 投稿(1), 放尿(1), 按摩棒(1), 紀錄片(1), 猥褻穿著(1), 熟女(1), 情侶(1), 深喉(1), 局部特寫(1), 巨大陰莖(1), 蠻橫嬌羞(1), 立即口交(1), 講師(1), 女優按摩棒(1), 性感的(1), 美少女(1), 乳交(1), 處男(1), 獵豔(1), 高挑(1), 出軌(1), 家教(1), 羞恥(1), 首次亮相(1)",,,
