Name,Profile URL,Debut Year,Number of Movies,Tags/Genres
本庄鈴,https://javdb.com/actors/BzpA,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(70), 中出(49), 苗條(36), 戲劇(31), VR(30), 素人作品(29), 介紹影片(22), 4小時以上作品(19), 多P(17), 高挑(17), 白天出軌(16), 精選綜合(15), 女上位(14), 美少女電影(13), 美乳(12), 口交(11), 接吻(11), 4K(10), 蕩婦(10), 姐姐(10), 性感的(8), 偶像(8), 淫亂真實(8), 已婚婦女(7), 顏射(7), 各種職業(6), 潮吹(6), 濫交(6), 按摩(6), 紀錄片(5), 巨乳(5), 數位馬賽克(5), OL(5), 美少女(5), 羞恥(4), 戶外(4), 出軌(4), 女大學生(4), 拘束(4), 首次亮相(4), 第一人稱攝影(4), 手淫(4), 局部特寫(4), 主觀視角(4), 16小時以上作品(3), 浴衣(3), 女教師(3), 乳液(3), 凌辱(3), 情侶(3), 制服(3), 魔鬼系(3), 角色扮演(3), 美容院(3), 高中女生(3), 偷窺(3), 玩具(3), 吞精(2), 護士(2), 亂倫(2), 熟女(2), 禮儀小姐(2), 深喉(2), 角色扮演者(2), 內衣(2), 流汗(2), 淫語(2), 兔女郎(2), 企畫(2), 藝人(2), 和服，喪服(1), 運動(1), 學校泳裝(1), 連褲襪(1), 戀腿癖(1), 伴侶(1), 暗黑系(1), 惡作劇(1), 家教(1), 講師(1), 模特兒(1), 女傭(1), 其他戀物癖(1), 倒追(1), 戀愛(1), 婆婆(1), 處男(1), 自慰(1), 女主播(1), 老闆娘，女主人(1), 大小姐(1), 插入異物(1), 監禁(1), 女檢察官(1), 戰鬥行動(1), 立即口交(1), SM(1), 泳裝(1), 戀物癖(1), 69(1), 空中小姐(1), 身體意識(1), 輪姦(1), 調教(1), 妄想(1), 性騷擾(1), 獵豔(1), 新娘，年輕妻子(1)"
"波多野結衣, 酒井愛美",https://javdb.com/actors/R2Vg,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 精選綜合(1554), 4小時以上作品(1161), 中出(1030), 巨乳(988), 蕩婦(820), 熟女(761), 已婚婦女(746), 淫亂真實(399), 姐姐(381), 單體作品(375), 多P(355), 素人作品(346), 口交(345), 女同性戀(345), VR(322), 淫語(291), 手淫(287), 白天出軌(278), 女上位(266), 數位馬賽克(249), 戲劇(212), 潮吹(212), 美乳(210), 其他戀物癖(209), 企畫(206), 自慰(205), 主觀視角(181), 凌辱(178), 亂倫(174), 女同接吻(170), 連褲襪(163), 調教(158), 肛門・肛交(138), 美臀(138), 大屁股(132), 拘束(130), 捆綁(127), 濫交(125), 美少女電影(123), 紀錄片(122), 16小時以上作品(120), 美容院(117), 強姦(114), 乳交(109), 出軌(108), 美少女(106), 舔陰(105), OL(105), 女教師(103), 羞恥(94), 各種職業(93), 苗條(92), 接吻(90), 局部特寫(89), 介紹影片(84), 戀腿癖(84), 妓女(80), 玩具(80), SM(78), M男(75), 放尿(74), 按摩(74), 戀物癖(71), 母親(71), 顏射(71), 新娘，年輕妻子(69), 內衣(69), 制服(65), 辣妹(63), 騎乗位(60), 跳舞(56), 業餘(56), 足交(54), 禮儀小姐(52), 緊縛(51), 第一人稱攝影(49), 高中女生(49), 護士(46), 乳液(45), 深喉(45), 女優按摩棒(43), 戀乳癖(43), 流汗(42), 輪姦(41), 處男(41), 短裙(39), 無毛(37), 角色扮演(37), 偷窺(36), 69(36), 巨大陰莖(36), 家教(35), 正太控(35), 吞精(35), 監禁(34), 戶外(34), 藥物(32), 婆婆(32), 妄想(31), 故事集(30), 手指插入(30), 迷你裙(29), 女裝人妖(28), 性感的(28), 眼鏡(28), 和服，喪服(27), 女檢察官(27), 4K(26), 性騷擾(25), 角色扮演者(24), 給女性觀眾(24), 變性者(24), 女戰士(23), 催眠(22), 惡作劇(21), 戰鬥行動(21), 學校泳裝(20), 藝人(20), 倒追(19), 泳裝(18), 戀愛(18), 緊身衣(18), 按摩棒(17), 妹妹(17), 猥褻穿著(16), 情侶(16), 獵豔(16), 賽車女郎(15), 女傭(15), 魔鬼系(14), 格鬥家(14), 空中小姐(14), 溫泉(13), 老闆娘，女主人(13), 秘書(13), 感謝祭(12), 寡婦(12), 校服(12), 身體意識(12), 浴衣(11), 殘忍畫面(11), 飲尿(11), 黑人演員(11), 特效(11), 平胸(11), 3D(11), 學校作品(10), 立即口交(10), 薄馬賽克(10), 高挑(9), 女醫生(9), 爛醉如泥的(9), 胖女人(9), 超乳(9), 運動(8), 偶像(8), 展場女孩(8), 女主播(8), 蘿莉塔(7), 大小姐(7), 插入異物(7), 教學(7), 運動短褲(7), 女大學生(6), 子宮頸(6), 跳蛋(6), 講師(6), 汽車性愛(5), 水手服(5), 兔女郎(4), 重印版(4), 投稿(3), 模特兒(3), 肌肉(3), 首次亮相(3), 母乳(3), 伴侶(3), 拳交(3), 洗澡(3), 女忍者(3), 觸摸打字(2), 行動(2), 絲襪、過膝襪(2), HDTV(2), 裸體圍裙(2), 動畫人物(2), 性轉換·女體化(2), 旗袍(2), 鴨嘴(2), 娃娃(2), 觸手(2), 原作改編(2), 服務生(2), 貓耳女(2), 蠻橫嬌羞(1), 泡泡襪(1), 瘦小身型(1), 車掌小姐(1), 公主(1), 迷你裙警察(1), 處女(1), 童年朋友(1), 亞洲女演員(1), 雙性人(1)"
"紗倉真菜, 紗倉まな",https://javdb.com/actors/J9dd,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 中出(58), 單體作品(50), 巨乳(38), 4小時以上作品(38), VR(35), 介紹影片(34), 蕩婦(33), 美少女電影(32), 精選綜合(30), 多P(28), 藝人(25), 素人作品(21), 美少女(21), 戲劇(20), 白天出軌(18), 紀錄片(16), 濫交(16), 口交(15), 企畫(15), 其他戀物癖(15), 淫亂真實(14), 女上位(14), 接吻(13), 姐姐(13), 拘束(13), 淫語(13), 主觀視角(12), 已婚婦女(11), 美乳(11), 女同性戀(10), 第一人稱攝影(9), 凌辱(9), 高中女生(9), 美容院(8), 數位馬賽克(8), 4K(7), 無碼破解(7), 局部特寫(7), 泳裝(7), 輪姦(7), 出軌(7), 羞恥(7), 妹妹(7), 亂倫(7), 乳液(6), 吞精(6), 妓女(6), 自慰(6), 禮儀小姐(5), 玩具(5), 護士(5), OL(5), 處男(5), 藥物(5), 溫泉(5), 調教(5), 手淫(5), 蘿莉塔(5), 角色扮演(5), 無碼流出(4), 各種職業(4), 潮吹(4), 校服(4), 美臀(4), 制服(4), 業餘(4), 巨大陰莖(4), 深喉(4), 情侶(4), 催眠(4), 水手服(4), 流汗(3), 大屁股(3), 女教師(3), 強姦(3), 妄想(3), 短裙(3), 戶外(3), 顏射(3), 性騷擾(3), 苗條(3), 熟女(3), 和服，喪服(3), 偶像(3), M男(3), 偷窺(3), 首次亮相(2), 學校泳裝(2), 放尿(2), 乳交(2), 監禁(2), 家教(2), 內衣(2), 女優按摩棒(2), 立即口交(2), 新娘，年輕妻子(2), 戀愛(2), 戀物癖(2), 角色扮演者(2), 女大學生(2), 原作改編(1), 眼鏡(1), 感謝祭(1), 按摩(1), 女主播(1), 處女(1), 獵豔(1), 汽車性愛(1), 服務生(1), 浴衣(1), 女檢察官(1), 戰鬥行動(1), 大小姐(1), 辣妹(1), 舔陰(1), 女傭(1), 手指插入(1), 運動短褲(1), 3D(1), 子宮頸(1), 肛門・肛交(1), 連褲襪(1), 騎乗位(1), 倒追(1), 猥褻穿著(1), 按摩棒(1), 緊縛(1), 模特兒(1), 老闆娘，女主人(1), 迷你裙(1), 蠻橫嬌羞(1), 捆綁(1), 性感的(1)"
"北野未奈, 未奈",https://javdb.com/actors/ZXy46,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 巨乳(257), 中出(235), 單體作品(193), 精選綜合(183), 4小時以上作品(148), 蕩婦(126), VR(77), 口交(67), 淫亂真實(66), 女上位(61), 大屁股(57), 已婚婦女(57), 美少女電影(49), 乳交(46), 白天出軌(43), 熟女(35), 潮吹(31), 多P(25), 姐姐(24), 素人作品(22), 接吻(22), 主觀視角(21), 淫語(20), 手淫(19), 出軌(19), 無毛(18), 禮儀小姐(16), 16小時以上作品(15), 美臀(15), 美乳(14), 戀物癖(14), 戲劇(14), M男(14), 辣妹(13), 苗條(12), 顏射(11), 舔陰(11), 自慰(10), 濫交(10), 乳液(10), 放尿(10), 高中女生(9), OL(9), 流汗(9), 介紹影片(8), 美容院(8), 女同性戀(8), 戀乳癖(8), 騎乗位(7), 羞恥(7), 亂倫(7), 拘束(7), 各種職業(7), 肛門・肛交(6), 手指插入(6), 浴衣(6), 深喉(6), 原作改編(5), 內衣(5), 連褲襪(5), 第一人稱攝影(5), 女同接吻(5), 4K(5), 紀錄片(5), 玩具(5), 學校泳裝(4), 超乳(4), 感謝祭(4), 立即口交(4), 女大學生(4), 胖女人(4), 凌辱(3), 妹妹(3), 老闆娘，女主人(3), 局部特寫(3), 制服(3), 戀愛(3), 女傭(3), 吞精(3), 按摩(3), 女優按摩棒(3), 按摩棒(3), 惡作劇(3), 正太控(3), 角色扮演者(2), 母親(2), 藥物(2), 女教師(2), 偷窺(2), 眼鏡(2), 偶像(2), 巨大陰莖(2), 新娘，年輕妻子(2), 妄想(2), 監禁(2), 業餘(2), 緊縛(2), 倒追(2), 兔女郎(2), 緊身衣(1), 戶外(1), 故事集(1), 高挑(1), 平胸(1), 婆婆(1), 足交(1), 捆綁(1), 家教(1), 蠻橫嬌羞(1), 重印版(1), 跳蛋(1), 水手服(1), 運動(1), 女檢察官(1), 泳裝(1), 戀腿癖(1), 身體意識(1), 迷你裙(1), 69(1), 企畫(1), 女主播(1), 妓女(1), 護士(1), 情侶(1), 首次亮相(1)"
星乃莉子,https://javdb.com/actors/g038g,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(36), 巨乳(24), 女上位(17), 多P(13), 4K(12), 中出(11), 素人作品(10), VR(8), 介紹影片(8), 戲劇(8), 角色扮演(6), 潮吹(6), 顏射(5), 苗條(5), 口交(5), 性感的(4), 偶像(4), 運動(3), 蕩婦(3), 第一人稱攝影(3), 泳裝(3), 首次亮相(3), 淫亂真實(3), 女同性戀(2), 紀錄片(2), 乳液(2), 羞恥(2), 白天出軌(2), 接吻(2), 主觀視角(2), 吞精(2), 業餘(2), 各種職業(1), 4小時以上作品(1), 和服，喪服(1), 肌肉(1), 企畫(1), 流汗(1), 美少女(1), 美容院(1), OL(1), 護士(1), 眼鏡(1), 運動短褲(1), 美乳(1), 制服(1), 藥物(1), 女傭(1), 女大學生(1), 拘束(1), 美少女電影(1), 戶外(1), 情侶(1), 感謝祭(1)"
小湊よつ葉,https://javdb.com/actors/yr3X0,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(25), 4K(21), 戲劇(15), 苗條(13), 美少女(12), 中出(11), 紀錄片(11), 素人作品(9), 第一人稱攝影(8), 偶像(7), 多P(6), 白天出軌(5), 已婚婦女(5), 戰鬥行動(5), 淫亂真實(4), 潮吹(4), 接吻(4), VR(4), 女同性戀(3), 首次亮相(3), 美少女電影(3), 介紹影片(2), 性感的(2), 顏射(2), 美乳(2), 企畫(2), 角色扮演(2), 流汗(2), 巨大陰莖(1), 情侶(1), 業餘(1), OL(1), 戶外(1), 老闆娘，女主人(1), 洗澡(1), 婆婆(1), 姐姐(1), 乳液(1), 玩具(1), 主觀視角(1), 口交(1), 立即口交(1), 家教(1), 女主播(1), 女上位(1)"
逢沢みゆ,https://javdb.com/actors/zK98J,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 單體作品(62), 美少女電影(38), 中出(36), 巨乳(20), 精選綜合(18), VR(16), 蕩婦(13), 女上位(13), 口交(13), 高中女生(12), 接吻(12), 4小時以上作品(11), 淫亂真實(11), 偶像(11), 美乳(10), 多P(8), 制服(7), 白天出軌(7), 苗條(7), 潮吹(7), 戲劇(6), 已婚婦女(5), 流汗(5), 主觀視角(5), 姐姐(4), 深喉(4), 乳液(4), 各種職業(3), 乳交(3), 角色扮演者(3), 素人作品(3), 手淫(3), 巨大陰莖(3), 大屁股(3), 出軌(3), 美容院(3), M男(2), 短裙(2), 熟女(2), 凌辱(2), 原作改編(2), 第一人稱攝影(2), 介紹影片(2), 性感的(2), 無毛(2), OL(2), 自慰(2), 16小時以上作品(2), 泳裝(2), 妹妹(2), 淫語(2), 情侶(2), 紀錄片(2), 舔陰(1), 女優按摩棒(1), 玩具(1), 按摩(1), 和服，喪服(1), 女同接吻(1), 女同性戀(1), 裸體圍裙(1), 護士(1), 濫交(1), 惡作劇(1), 水手服(1), 學校作品(1), 故事集(1), 女檢察官(1), 學校泳裝(1), 子宮頸(1), 藥物(1), 運動短褲(1), 美臀(1), 羞恥(1), 顏射(1), 女傭(1), 首次亮相(1)"
田野憂,https://javdb.com/actors/8VOMx,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 巨乳(25), 單體作品(22), 精選綜合(21), 乳交(20), 美少女電影(18), 4小時以上作品(17), 超乳(17), 淫亂真實(12), 戀乳癖(10), 主觀視角(9), 苗條(8), 紀錄片(6), 素人作品(6), VR(6), 潮吹(6), 女上位(5), 偶像(5), 16小時以上作品(4), 白天出軌(4), 介紹影片(3), 美容院(3), 接吻(3), 口交(2), 濫交(2), 蕩婦(2), 制服(2), 美乳(2), 猥褻穿著(2), 乳液(2), 多P(2), 感謝祭(1), OL(1), 惡作劇(1), 大屁股(1), 女傭(1), 妹妹(1), 戀物癖(1), 拘束(1), 巨大陰莖(1), 子宮頸(1), 戲劇(1), 情侶(1), 第一人稱攝影(1), 女優按摩棒(1), 放尿(1), 高中女生(1), 首次亮相(1)"
瀬戸環奈,https://javdb.com/actors/neRNX,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 巨乳(9), 單體作品(8), 偶像(6), 乳交(6), 4小時以上作品(4), 美少女電影(4), 戀乳癖(3), 主觀視角(2), 多P(2), 顏射(2), 苗條(2), 高中女生(1), 制服(1), 超乳(1), 美乳(1), 精選綜合(1), M男(1), 手淫(1), 禮儀小姐(1), 淫亂真實(1), 介紹影片(1), 第一人稱攝影(1), 玩具(1), 首次亮相(1)"
"美谷朱里, 美谷あかり, 谷坂かな, 吉見いりあ, 仁科璃々, 三上江里, 美谷朱音",https://javdb.com/actors/gyRE,,,"全部, 可播放, 單體作品, 含磁鏈, 含字幕, 中出(602), 精選綜合(506), 4小時以上作品(418), VR(295), 單體作品(251), 蕩婦(241), 美少女電影(233), 巨乳(183), 苗條(179), 口交(167), 女上位(165), 素人作品(142), 美乳(120), 白天出軌(112), 已婚婦女(110), 主觀視角(96), 淫亂真實(88), 戲劇(83), 姐姐(82), 美少女(79), 多P(76), 大屁股(76), 業餘(72), 接吻(72), 潮吹(69), 淫語(65), 美臀(63), 高中女生(59), 手淫(58), 企畫(56), 女同性戀(54), 第一人稱攝影(51), 顏射(43), 介紹影片(43), 戀物癖(40), 數位馬賽克(40), 女大學生(38), 女同接吻(37), 熟女(37), 獵豔(35), 羞恥(34), 16小時以上作品(33), OL(32), 制服(31), HDTV(30), 濫交(30), 紀錄片(30), 凌辱(29), M男(27), 玩具(27), 出軌(26), 亂倫(26), 深喉(26), 自慰(25), 高挑(24), 拘束(24), 角色扮演者(22), 連褲襪(22), 按摩(21), 妹妹(20), 偶像(19), 禮儀小姐(19), 流汗(19), 調教(19), 女優按摩棒(18), 美容院(17), 護士(17), 吞精(17), 偷窺(17), 各種職業(17), 肛門・肛交(16), 校服(16), 妓女(16), 無碼破解(15), 女教師(15), 巨大陰莖(15), 戀腿癖(15), 舔陰(14), 捆綁(14), 輪姦(13), 藥物(13), 處男(13), 足交(13), 乳交(13), 藝人(13), 內衣(12), 局部特寫(12), 短裙(12), 乳液(12), 手指插入(11), 新娘，年輕妻子(10), 強姦(10), 童年朋友(9), 學校泳裝(9), 妄想(9), 其他戀物癖(9), SM(8), 性騷擾(8), 立即口交(8), 迷你裙(8), 騎乗位(8), 辣妹(8), 性感的(7), 處女(7), 瘦小身型(7), 感謝祭(7), 角色扮演(7), 黑人演員(6), 無毛(6), 空中小姐(6), 緊縛(6), 浴衣(6), 眼鏡(6), 3D(6), 魔鬼系(6), 故事集(6), 兩女一男(5), 放尿(5), 跳舞(5), 平胸(5), 溫泉(5), 蠻橫嬌羞(5), 兔女郎(5), 泳裝(5), 特效(5), 女戰士(5), 兩男兩女(4), 教學(4), 戀愛(4), 69(4), 正太控(4), 女醫生(4), 原作改編(4), 和服，喪服(4), 爛醉如泥的(4), 雙性人(4), 運動(3), 猥褻穿著(3), 變性者(3), 女檢察官(3), 戀乳癖(3), 水手服(3), 情侶(3), 按摩棒(3), 蘿莉塔(3), 戶外(3), 學校作品(3), 絲襪、過膝襪(3), 女傭(3), 4K(2), 無碼流出(2), 科幻(2), 共演(2), 性轉換·女體化(2), 服務生(2), 暗黑系(2), 倒追(2), 肌肉(2), 子宮頸(2), 惡作劇(2), 運動短褲(2), 催眠(2), 緊身衣(2), 婆婆(2), 跳蛋(2), 寡婦(1), 秘書(1), 超乳(1), 母親(1), 家教(1), 高跟鞋(1), 瑜伽·健身(1), 監禁(1), 拳交(1), 講師(1), 老闆娘，女主人(1), 模特兒(1), 裸體圍裙(1), 大小姐(1), 展場女孩(1), 投稿(1), 戰鬥行動(1), 首次亮相(1)"
